dataset,abbreviation,MLP,FCN,ResNet,DTW_I,TSF,TapNet,TimesNet,ConvTran,KATN,RPM-CNN,SRPM-CNN,ROCKET,MiniRocket,MultiRocket,Hydra,AIM-TSformer
ArticularyWordRecognition,AWR,0.945 ± 0.021,0.985 ± 0.002,0.972 ± 0.012,0.977 ± 0.000,0.963 ± 0.002,0.803 ± 0.061,0.977 ± 0.004,0.972 ± 0.005,0.985 ± 0.004,0.965 ± 0.009,0.669 ± 0.018,0.993 ± 0.000,0.992 ± 0.002,0.992 ± 0.002,0.987 ± 0.005,0.993 ± 0.000
BasicMotions,BM,0.870 ± 0.045,1.000 ± 0.000,0.995 ± 0.011,1.000 ± 0.000,1.000 ± 0.000,0.935 ± 0.105,0.965 ± 0.029,0.990 ± 0.014,1.000 ± 0.000,1.000 ± 0.000,0.975 ± 0.025,1.000 ± 0.000,1.000 ± 0.000,1.000 ± 0.000,1.000 ± 0.000,1.000 ± 0.000
Epilepsy,EP,0.675 ± 0.036,0.967 ± 0.015,0.971 ± 0.009,0.949 ± 0.000,0.928 ± 0.005,0.970 ± 0.017,0.883 ± 0.038,0.972 ± 0.006,0.968 ± 0.011,0.959 ± 0.004,0.813 ± 0.012,0.986 ± 0.000,1.000 ± 0.000,1.000 ± 0.000,1.000 ± 0.000,1.000 ± 0.000
ERing,ER,0.913 ± 0.008,0.870 ± 0.016,0.865 ± 0.012,0.878 ± 0.000,0.927 ± 0.010,0.692 ± 0.079,0.912 ± 0.014,0.805 ± 0.061,0.939 ± 0.010,0.934 ± 0.014,0.657 ± 0.029,0.985 ± 0.004,0.984 ± 0.003,0.993 ± 0.003,0.986 ± 0.003,0.950 ± 0.002
FaceDetection,FD,0.645 ± 0.007,0.537 ± 0.007,0.548 ± 0.018,N/A,0.562 ± 0.002,0.555 ± 0.007,0.670 ± 0.007,0.651 ± 0.011,0.663 ± 0.008,0.656 ± 0.011,0.501 ± 0.011,0.608 ± 0.010,0.589 ± 0.005,0.609 ± 0.003,0.535 ± 0.012,0.650 ± 0.008
FingerMovements,FM,0.524 ± 0.055,0.594 ± 0.042,0.538 ± 0.057,0.520 ± 0.000,0.526 ± 0.019,0.498 ± 0.024,0.530 ± 0.057,0.546 ± 0.065,0.524 ± 0.048,0.526 ± 0.047,0.526 ± 0.057,0.542 ± 0.033,0.566 ± 0.035,0.582 ± 0.018,0.558 ± 0.051,0.704 ± 0.015
Handwriting,HW,0.286 ± 0.009,0.454 ± 0.034,0.513 ± 0.025,0.505 ± 0.000,0.339 ± 0.012,0.344 ± 0.021,0.340 ± 0.008,0.228 ± 0.027,0.434 ± 0.014,0.286 ± 0.015,0.136 ± 0.012,0.586 ± 0.002,0.506 ± 0.006,0.511 ± 0.003,0.461 ± 0.014,0.381 ± 0.006
Libras,LIB,0.763 ± 0.013,0.929 ± 0.008,0.901 ± 0.031,0.900 ± 0.000,0.846 ± 0.007,0.743 ± 0.032,0.757 ± 0.031,0.792 ± 0.006,0.856 ± 0.019,0.771 ± 0.021,0.509 ± 0.019,0.908 ± 0.006,0.937 ± 0.006,0.932 ± 0.005,0.951 ± 0.002,0.912 ± 0.002
LSST,LSST,0.525 ± 0.010,0.452 ± 0.013,0.315 ± 0.153,0.545 ± 0.000,0.624 ± 0.004,0.578 ± 0.023,0.559 ± 0.007,0.342 ± 0.005,0.524 ± 0.076,0.383 ± 0.010,0.340 ± 0.069,0.638 ± 0.005,0.637 ± 0.007,0.629 ± 0.002,0.596 ± 0.004,0.639 ± 0.002
NATOPS,NA,0.850 ± 0.014,0.947 ± 0.022,0.940 ± 0.014,0.839 ± 0.000,0.908 ± 0.014,0.909 ± 0.024,0.877 ± 0.020,0.940 ± 0.009,0.940 ± 0.013,0.823 ± 0.023,0.697 ± 0.016,0.886 ± 0.005,0.924 ± 0.020,0.923 ± 0.011,0.874 ± 0.011,0.943 ± 0.005
PEMS-SF,PEMS,0.798 ± 0.058,0.758 ± 0.034,0.775 ± 0.028,0.671 ± 0.000,0.875 ± 0.005,0.742 ± 0.032,0.831 ± 0.020,0.688 ± 0.041,0.741 ± 0.024,0.780 ± 0.033,0.673 ± 0.035,0.832 ± 0.018,0.816 ± 0.017,0.813 ± 0.025,0.797 ± 0.014,0.906 ± 0.006
