dataset,abbreviation,seed,MLP,FCN,ResNet,DTW_I,TSF,TapNet,TimesNet,ConvTran,KATN,RPM-CNN,SRPM-CNN,ROCKET,MiniRocket,MultiRocket,Hydra,AIM-TSformer
ArticularyWordRecognition,AWR,42,0.946667,0.986667,0.953333,0.976667,0.963333,0.770000,0.980000,0.976667,0.980000,0.950000,0.680000,0.993333,0.993333,0.993333,0.993333,0.993333
BasicMotions,BM,42,0.875000,1.000000,1.000000,1.000000,1.000000,1.000000,0.975000,1.000000,1.000000,1.000000,0.975000,1.000000,1.000000,1.000000,1.000000,1
Epilepsy,EP,42,0.681159,0.978261,0.978261,0.949275,0.927536,0.978261,0.869565,0.978261,0.963768,0.963768,0.797101,0.985507,1.000000,1.000000,1.000000,1
ERing,ER,42,0.918519,0.888889,0.862963,0.877778,0.918519,0.714815,0.929630,0.722222,0.933333,0.918519,0.648148,0.981481,0.981481,0.996296,0.985185,0.951852
FaceDetection,FD,42,0.647560,0.528093,0.554767,N/A,0.560159,0.565834,0.660329,0.646425,0.661180,0.659478,0.499716,0.596481,0.593076,0.605846,0.527809,0.658627
FingerMovements,FM,42,0.510000,0.590000,0.570000,0.520000,0.550000,0.490000,0.510000,0.600000,0.500000,0.480000,0.550000,0.570000,0.570000,0.600000,0.560000,0.73
Handwriting,HW,42,0.287059,0.425882,0.528235,0.504706,0.352941,0.321176,0.329412,0.200000,0.420000,0.294118,0.150588,0.584706,0.511765,0.511765,0.484706,0.38
Libras,LIB,42,0.755556,0.927778,0.883333,0.900000,0.855556,0.750000,0.788889,0.783333,0.838889,0.783333,0.522222,0.905556,0.938889,0.933333,0.950000,0.911111
LSST,LSST,42,0.529197,0.449716,0.169911,0.544607,0.620438,0.560827,0.559205,0.342255,0.538118,0.394972,0.217762,0.644363,0.642336,0.631387,0.593268,0.640714
NATOPS,NA,42,0.838889,0.922222,0.916667,0.838889,0.933333,0.916667,0.866667,0.933333,0.955556,0.827778,0.700000,0.877778,0.944444,0.916667,0.861111,0.938889
PEMS-SF,PEMS,42,0.763006,0.791908,0.774566,0.670520,0.872832,0.699422,0.826590,0.687861,0.722543,0.768786,0.705202,0.849711,0.815029,0.826590,0.791908,0.913295
PenDigits,PD,42,0.963979,0.988279,0.987136,0.939680,0.958548,0.974271,0.974271,0.695254,0.981132,N/A,N/A,0.980274,N/A,N/A,0.971126,0.993711
PhonemeSpectra,PM,42,0.088876,0.270206,0.310766,0.151208,0.158664,0.244259,0.148225,0.081420,0.200716,0.166120,0.133612,0.273188,0.311363,0.326573,0.331047,0.22547
RacketSports,RS,42,0.776316,0.861842,0.888158,0.835526,0.894737,0.776316,0.848684,0.802632,0.894737,N/A,0.638158,0.907895,0.921053,0.901316,0.901316,0.901316
DuckDuckGeese,DDG,42,0.460000,0.620000,0.600000,0.480000,0.540000,0.480000,0.460000,0.640000,0.620000,0.260000,0.220000,0.540000,0.600000,0.520000,0.540000,0.66
UWaveGestureLibrary,UWG,42,0.759375,0.868750,0.793750,0.856250,0.859375,0.593750,0.843750,0.878125,0.884375,0.865625,0.437500,0.931250,0.931250,0.937500,0.903125,0.9125
AtrialFibrillation,AF,42,0.200000,0.200000,0.066667,0.266667,0.466667,0.266667,0.333333,0.400000,0.333333,0.200000,0.266667,0.066667,0.133333,0.066667,0.066667,0.533333
Cricket,CR,42,0.861111,0.986111,0.986111,0.986111,0.930556,0.625000,0.875000,0.944444,0.972222,0.930556,0.763889,1.000000,0.986111,0.986111,0.986111,1
EthanolConcentration,EC,42,0.315589,0.296578,0.269962,0.307985,0.422053,0.262357,0.300380,0.285171,0.315589,0.254753,0.262357,0.418251,0.425856,0.547529,0.509506,0.577947
HandMovementDirection,HMD,42,0.459459,0.337838,0.270270,0.283784,0.527027,0.391892,0.527027,0.297297,0.567568,0.689189,0.256757,0.527027,0.364865,0.351351,0.256757,0.472973
Heartbeat,HB,42,0.668293,0.448780,0.439024,0.629268,0.726829,0.663415,0.741463,0.765854,0.741463,0.751220,0.751220,0.775610,0.751220,0.746341,0.795122,0.795122
SelfRegulationSCP1,SRS1,42,0.853242,0.832765,0.853242,0.764505,0.829352,0.723549,0.894198,0.901024,0.887372,0.870307,0.542662,0.853242,0.921502,0.952218,0.877133,0.856655
SelfRegulationSCP2,SRS2,42,0.472222,0.527778,0.505556,0.527778,0.444444,0.577778,0.444444,0.527778,0.472222,0.566667,0.511111,0.538889,0.511111,0.555556,0.566667,0.611111
StandWalkJump,SWJ,42,0.400000,0.333333,0.333333,0.400000,0.466667,0.133333,0.466667,0.266667,0.333333,0.466667,0.333333,0.466667,0.466667,0.666667,0.466667,0.733333
