dataset,abbreviation,MLP,FCN,ResNet,DTW_I,TSF,TapNet,TimesNet,ConvTran,KATN,RPM-CNN,SRPM-CNN,ROCKET,MiniRocket,MultiRocket,Hydra,AIM-TSformer
ArticularyWordRecognition,AWR,0.944 ± 0.023,0.985 ± 0.002,0.971 ± 0.013,0.976 ± 0.000,0.963 ± 0.002,0.815 ± 0.052,0.977 ± 0.004,0.972 ± 0.005,0.985 ± 0.005,0.965 ± 0.009,0.646 ± 0.022,0.993 ± 0.000,0.992 ± 0.002,0.992 ± 0.002,0.987 ± 0.005,0.993 ± 0.000
BasicMotions,BM,0.860 ± 0.055,1.000 ± 0.000,0.995 ± 0.011,1.000 ± 0.000,1.000 ± 0.000,0.919 ± 0.142,0.965 ± 0.029,0.990 ± 0.014,1.000 ± 0.000,1.000 ± 0.000,0.975 ± 0.025,1.000 ± 0.000,1.000 ± 0.000,1.000 ± 0.000,1.000 ± 0.000,1.000 ± 0.000
Epilepsy,EP,0.643 ± 0.029,0.966 ± 0.016,0.971 ± 0.009,0.948 ± 0.000,0.926 ± 0.005,0.970 ± 0.018,0.872 ± 0.045,0.973 ± 0.006,0.968 ± 0.012,0.960 ± 0.004,0.812 ± 0.013,0.985 ± 0.000,1.000 ± 0.000,1.000 ± 0.000,1.000 ± 0.000,1.000 ± 0.000
ERing,ER,0.912 ± 0.009,0.872 ± 0.015,0.866 ± 0.011,0.877 ± 0.000,0.926 ± 0.010,0.665 ± 0.096,0.911 ± 0.014,0.796 ± 0.064,0.939 ± 0.010,0.934 ± 0.014,0.648 ± 0.033,0.985 ± 0.004,0.984 ± 0.003,0.993 ± 0.003,0.986 ± 0.003,0.950 ± 0.002
FaceDetection,FD,0.644 ± 0.009,0.535 ± 0.008,0.545 ± 0.019,N/A,0.562 ± 0.002,0.553 ± 0.008,0.669 ± 0.007,0.648 ± 0.012,0.663 ± 0.008,0.656 ± 0.011,0.500 ± 0.009,0.608 ± 0.011,0.588 ± 0.005,0.608 ± 0.005,0.535 ± 0.012,0.649 ± 0.009
FingerMovements,FM,0.512 ± 0.049,0.593 ± 0.042,0.532 ± 0.055,0.517 ± 0.000,0.525 ± 0.020,0.493 ± 0.028,0.525 ± 0.059,0.531 ± 0.073,0.520 ± 0.048,0.524 ± 0.050,0.524 ± 0.057,0.539 ± 0.034,0.562 ± 0.035,0.579 ± 0.019,0.556 ± 0.051,0.702 ± 0.016
Handwriting,HW,0.261 ± 0.006,0.418 ± 0.041,0.499 ± 0.019,0.482 ± 0.000,0.307 ± 0.013,0.298 ± 0.028,0.309 ± 0.004,0.173 ± 0.016,0.396 ± 0.015,0.233 ± 0.010,0.096 ± 0.009,0.554 ± 0.004,0.479 ± 0.008,0.486 ± 0.004,0.429 ± 0.015,0.358 ± 0.005
Libras,LIB,0.759 ± 0.019,0.929 ± 0.008,0.901 ± 0.032,0.899 ± 0.000,0.847 ± 0.008,0.737 ± 0.038,0.751 ± 0.033,0.782 ± 0.012,0.854 ± 0.019,0.751 ± 0.019,0.506 ± 0.023,0.908 ± 0.006,0.936 ± 0.006,0.932 ± 0.005,0.951 ± 0.003,0.913 ± 0.002
LSST,LSST,0.375 ± 0.017,0.289 ± 0.038,0.274 ± 0.069,0.457 ± 0.000,0.451 ± 0.005,0.428 ± 0.011,0.413 ± 0.009,0.102 ± 0.014,0.417 ± 0.038,0.123 ± 0.007,0.123 ± 0.011,0.399 ± 0.002,0.472 ± 0.012,0.467 ± 0.008,0.422 ± 0.004,0.371 ± 0.013
NATOPS,NA,0.849 ± 0.014,0.945 ± 0.024,0.938 ± 0.015,0.843 ± 0.000,0.908 ± 0.015,0.905 ± 0.029,0.873 ± 0.024,0.939 ± 0.010,0.939 ± 0.013,0.824 ± 0.022,0.690 ± 0.011,0.882 ± 0.005,0.924 ± 0.020,0.923 ± 0.011,0.875 ± 0.011,0.943 ± 0.005
PEMS-SF,PEMS,0.783 ± 0.069,0.751 ± 0.033,0.767 ± 0.039,0.660 ± 0.000,0.871 ± 0.005,0.738 ± 0.033,0.826 ± 0.021,0.676 ± 0.039,0.734 ± 0.023,0.772 ± 0.039,0.666 ± 0.034,0.824 ± 0.018,0.807 ± 0.018,0.803 ± 0.028,0.785 ± 0.013,0.904 ± 0.005
PenDigits,PD,0.971 ± 0.008,0.984 ± 0.003,0.981 ± 0.008,0.939 ± 0.000,0.958 ± 0.003,0.983 ± 0.006,0.981 ± 0.005,0.645 ± 0.081,0.984 ± 0.003,N/A,N/A,0.980 ± 0.001,N/A,N/A,0.969 ± 0.002,0.994 ± 0.001
PhonemeSpectra,PM,0.077 ± 0.002,0.230 ± 0.011,0.292 ± 0.010,0.152 ± 0.000,0.145 ± 0.005,0.215 ± 0.024,0.146 ± 0.005,0.030 ± 0.005,0.191 ± 0.005,0.149 ± 0.005,0.119 ± 0.003,0.272 ± 0.003,0.307 ± 0.003,0.324 ± 0.004,0.328 ± 0.004,0.216 ± 0.004
RacketSports,RS,0.779 ± 0.017,0.887 ± 0.016,0.899 ± 0.013,0.845 ± 0.000,0.902 ± 0.007,0.807 ± 0.020,0.846 ± 0.013,0.816 ± 0.032,0.910 ± 0.013,N/A,0.634 ± 0.032,0.913 ± 0.009,0.887 ± 0.025,0.887 ± 0.016,0.906 ± 0.011,0.917 ± 0.009
DuckDuckGeese,DDG,0.372 ± 0.055,0.568 ± 0.050,0.577 ± 0.034,0.468 ± 0.000,0.567 ± 0.027,0.506 ± 0.038,0.455 ± 0.111,0.646 ± 0.012,0.612 ± 0.029,0.136 ± 0.060,0.170 ± 0.054,0.512 ± 0.026,0.607 ± 0.019,0.535 ± 0.013,0.516 ± 0.024,0.632 ± 0.019
UWaveGestureLibrary,UWG,0.807 ± 0.053,0.850 ± 0.017,0.818 ± 0.020,0.857 ± 0.000,0.859 ± 0.006,0.569 ± 0.083,0.861 ± 0.011,0.859 ± 0.022,0.887 ± 0.009,0.868 ± 0.007,0.435 ± 0.014,0.935 ± 0.004,0.938 ± 0.007,0.941 ± 0.005,0.909 ± 0.011,0.904 ± 0.007
AtrialFibrillation,AF,0.184 ± 0.004,0.156 ± 0.000,0.093 ± 0.048,0.278 ± 0.000,0.437 ± 0.000,0.162 ± 0.047,0.220 ± 0.076,0.284 ± 0.053,0.226 ± 0.035,0.201 ± 0.060,0.274 ± 0.026,0.056 ± 0.000,0.071 ± 0.016,0.051 ± 0.000,0.162 ± 0.054,0.456 ± 0.056
Cricket,CR,0.830 ± 0.058,0.989 ± 0.006,0.972 ± 0.017,0.986 ± 0.000,0.929 ± 0.010,0.644 ± 0.091,0.911 ± 0.033,0.957 ± 0.023,0.955 ± 0.016,0.924 ± 0.021,0.804 ± 0.040,1.000 ± 0.000,0.986 ± 0.000,0.986 ± 0.000,0.989 ± 0.006,1.000 ± 0.000
EthanolConcentration,EC,0.212 ± 0.021,0.290 ± 0.047,0.268 ± 0.045,0.308 ± 0.000,0.434 ± 0.011,0.218 ± 0.056,0.252 ± 0.025,0.287 ± 0.023,0.289 ± 0.021,0.153 ± 0.020,0.256 ± 0.023,0.418 ± 0.012,0.450 ± 0.015,0.537 ± 0.018,0.505 ± 0.004,0.530 ± 0.027
HandMovementDirection,HMD,0.441 ± 0.044,0.209 ± 0.094,0.251 ± 0.064,0.271 ± 0.000,0.432 ± 0.052,0.282 ± 0.048,0.581 ± 0.039,0.327 ± 0.054,0.604 ± 0.024,0.691 ± 0.018,0.226 ± 0.050,0.495 ± 0.027,0.365 ± 0.024,0.295 ± 0.037,0.262 ± 0.031,0.454 ± 0.015
Heartbeat,HB,0.592 ± 0.018,0.606 ± 0.113,0.573 ± 0.086,0.533 ± 0.000,0.614 ± 0.010,0.616 ± 0.033,0.592 ± 0.047,0.663 ± 0.038,0.681 ± 0.024,0.454 ± 0.135,0.609 ± 0.028,0.647 ± 0.028,0.693 ± 0.024,0.644 ± 0.023,0.654 ± 0.030,0.696 ± 0.031
SelfRegulationSCP1,SRS1,0.817 ± 0.063,0.788 ± 0.063,0.620 ± 0.256,0.758 ± 0.000,0.834 ± 0.008,0.696 ± 0.178,0.857 ± 0.025,0.895 ± 0.012,0.887 ± 0.011,0.854 ± 0.017,0.440 ± 0.071,0.852 ± 0.006,0.916 ± 0.007,0.950 ± 0.002,0.883 ± 0.007,0.857 ± 0.005
