dataset,abbreviation,seed,MLP,FCN,ResNet,DTW_I,TSF,TapNet,TimesNet,ConvTran,KATN,RPM-CNN,SRPM-CNN,ROCKET,MiniRocket,MultiRocket,Hydra,AIM-TSformer
ArticularyWordRecognition,AWR,46,0.980088,0.986608,0.983152,0.976433,0.965911,0.751143,0.979971,0.967392,0.979813,0.966235,0.622184,0.993322,0.989983,0.993322,0.979813,0.993322
BasicMotions,BM,46,0.803877,1.000000,0.974937,1.000000,1.000000,0.950957,1.000000,1.000000,1.000000,1.000000,0.949495,1.000000,1.000000,1.000000,1.000000,1.000000
Epilepsy,EP,46,0.633084,0.964677,0.956905,0.948346,0.934069,0.992935,0.878409,0.971691,0.963731,0.957056,0.802086,0.984993,1.000000,1.000000,1.000000,1.000000
ERing,ER,46,0.903696,0.855976,0.865006,0.876908,0.921494,0.604083,0.899230,0.773818,0.947783,0.943819,0.656351,0.988928,0.981513,0.992592,0.981552,0.947603
FaceDetection,FD,46,0.628664,0.545102,0.547130,N/A,0.560686,0.555613,0.673309,0.630078,0.663121,0.661841,0.511760,0.614597,0.586586,0.600309,0.551137,0.634552
FingerMovements,FM,46,0.458333,0.586652,0.578483,0.516908,0.539816,0.489541,0.474822,0.584000,0.533279,0.465672,0.508772,0.485835,0.594156,0.594156,0.567883,0.695617
Handwriting,HW,46,0.250051,0.415165,0.499138,0.482474,0.300619,0.295057,0.312522,0.182961,0.388399,0.224502,0.097985,0.551373,0.468217,0.481121,0.431073,0.362806
Libras,LIB,46,0.771180,0.916328,0.854587,0.899344,0.840557,0.679505,0.724793,0.788380,0.861035,0.767308,0.476826,0.900361,0.938034,0.927703,0.949097,0.916887
LSST,LSST,46,0.387394,0.309902,0.182148,0.457392,0.452231,0.423480,0.410277,0.096629,0.376391,0.117461,0.121214,0.399831,0.454457,0.466587,0.421634,0.356661
NATOPS,NA,46,0.871757,0.948730,0.938535,0.842673,0.899598,0.858292,0.886954,0.943292,0.922060,0.813785,0.706818,0.883216,0.906269,0.938736,0.866366,0.944318
PEMS-SF,PEMS,46,0.709013,0.767022,0.756876,0.660118,0.869347,0.781685,0.831495,0.708347,0.753179,0.738957,0.646670,0.823045,0.827846,0.830228,0.777059,0.900379
PenDigits,PD,46,0.960989,0.983278,0.969165,0.939352,0.956278,0.979176,0.983102,0.547088,0.986401,N/A,N/A,0.979027,N/A,N/A,0.964820,0.994257
PhonemeSpectra,PM,46,0.078322,0.225717,0.298575,0.151948,0.147092,0.236871,0.153939,0.036047,0.191341,0.149983,0.116373,0.276253,0.306889,0.324847,0.333213,0.220579
RacketSports,RS,46,0.753867,0.888839,0.913813,0.844883,0.901190,0.816103,0.851981,0.806977,0.895404,N/A,0.643740,0.909428,0.876827,0.869786,0.914587,0.908404
DuckDuckGeese,DDG,46,0.375531,0.544955,0.626244,0.468406,0.599517,0.513085,0.372205,0.638646,0.641767,0.105333,0.186667,0.486253,0.578239,0.529012,0.527636,0.635541
UWaveGestureLibrary,UWG,46,0.843588,0.855483,0.827163,0.856729,0.850806,0.452326,0.875570,0.869772,0.902444,0.875252,0.412358,0.930804,0.943569,0.944012,0.892722,0.911835
AtrialFibrillation,AF,46,0.185897,0.155556,0.106838,0.277778,0.437451,0.156863,0.169312,0.220513,0.264069,0.158120,0.260606,0.055556,0.078431,0.051282,0.111111,0.370370
Cricket,CR,46,0.741973,0.986014,0.945069,0.986014,0.928904,0.607516,0.942541,0.972125,0.957692,0.918706,0.787024,1.000000,0.986014,0.986014,0.986014,1.000000
EthanolConcentration,EC,46,0.214751,0.338861,0.319704,0.307589,0.440954,0.199720,0.247248,0.301761,0.263770,0.179020,0.237949,0.428554,0.461138,0.558015,0.511322,0.549079
HandMovementDirection,HMD,46,0.515682,0.292726,0.284358,0.270814,0.368182,0.268197,0.553675,0.345032,0.625329,0.716551,0.178462,0.510372,0.353432,0.310965,0.252300,0.469595
Heartbeat,HB,46,0.579688,0.530803,0.616170,0.533198,0.621530,0.667729,0.533585,0.677098,0.705177,0.527218,0.645365,0.615625,0.660682,0.637951,0.658333,0.677673
SelfRegulationSCP1,SRS1,46,0.730725,0.742355,0.837401,0.758011,0.846158,0.398181,0.859748,0.890108,0.873004,0.839403,0.506838,0.842782,0.918065,0.952191,0.886478,0.863403
SelfRegulationSCP2,SRS2,46,0.435412,0.437799,0.466509,0.527763,0.481397,0.511565,0.471441,0.441788,0.452242,0.542411,0.366075,0.533276,0.471423,0.566667,0.527647,0.624241
StandWalkJump,SWJ,46,0.522222,0.207407,0.362963,0.383117,0.407407,0.300000,0.185185,0.156863,0.166667,0.277778,0.269231,0.433862,0.438889,0.664646,0.344444,0.674242
