dataset,abbreviation,MLP,FCN,ResNet,DTW_I,TSF,TapNet,TimesNet,ConvTran,KATN,RPM-CNN,SRPM-CNN,ROCKET,MiniRocket,MultiRocket,Hydra,AIM-TSformer
ArticularyWordRecognition,AWR,0.945 ± 0.021,0.985 ± 0.002,0.972 ± 0.012,0.977 ± 0.000,0.963 ± 0.002,0.803 ± 0.061,0.977 ± 0.004,0.972 ± 0.005,0.985 ± 0.004,0.965 ± 0.009,0.669 ± 0.018,0.993 ± 0.000,0.992 ± 0.002,0.992 ± 0.002,0.987 ± 0.005,0.993 ± 0.000
BasicMotions,BM,0.870 ± 0.045,1.000 ± 0.000,0.995 ± 0.011,1.000 ± 0.000,1.000 ± 0.000,0.935 ± 0.105,0.965 ± 0.029,0.990 ± 0.014,1.000 ± 0.000,1.000 ± 0.000,0.975 ± 0.025,1.000 ± 0.000,1.000 ± 0.000,1.000 ± 0.000,1.000 ± 0.000,1.000 ± 0.000
Epilepsy,EP,0.680 ± 0.034,0.967 ± 0.015,0.971 ± 0.008,0.950 ± 0.000,0.927 ± 0.006,0.970 ± 0.017,0.881 ± 0.038,0.973 ± 0.006,0.969 ± 0.011,0.959 ± 0.004,0.816 ± 0.010,0.985 ± 0.000,1.000 ± 0.000,1.000 ± 0.000,1.000 ± 0.000,1.000 ± 0.000
ERing,ER,0.913 ± 0.008,0.870 ± 0.016,0.865 ± 0.012,0.878 ± 0.000,0.927 ± 0.010,0.692 ± 0.079,0.912 ± 0.014,0.805 ± 0.061,0.939 ± 0.010,0.934 ± 0.014,0.657 ± 0.029,0.985 ± 0.004,0.984 ± 0.003,0.993 ± 0.003,0.986 ± 0.003,0.950 ± 0.002
FaceDetection,FD,0.645 ± 0.007,0.537 ± 0.007,0.548 ± 0.018,N/A,0.562 ± 0.002,0.555 ± 0.007,0.670 ± 0.007,0.651 ± 0.011,0.663 ± 0.008,0.656 ± 0.011,0.501 ± 0.011,0.608 ± 0.010,0.589 ± 0.005,0.609 ± 0.003,0.535 ± 0.012,0.650 ± 0.008
FingerMovements,FM,0.525 ± 0.052,0.594 ± 0.042,0.536 ± 0.057,0.519 ± 0.000,0.527 ± 0.019,0.500 ± 0.023,0.532 ± 0.057,0.547 ± 0.062,0.524 ± 0.046,0.527 ± 0.047,0.526 ± 0.056,0.544 ± 0.033,0.568 ± 0.035,0.584 ± 0.018,0.559 ± 0.051,0.703 ± 0.015
Handwriting,HW,0.280 ± 0.010,0.454 ± 0.033,0.514 ± 0.023,0.497 ± 0.000,0.336 ± 0.011,0.341 ± 0.020,0.335 ± 0.007,0.227 ± 0.027,0.430 ± 0.015,0.282 ± 0.015,0.132 ± 0.009,0.579 ± 0.003,0.503 ± 0.007,0.508 ± 0.003,0.458 ± 0.013,0.382 ± 0.008
Libras,LIB,0.763 ± 0.013,0.929 ± 0.008,0.901 ± 0.031,0.900 ± 0.000,0.846 ± 0.007,0.743 ± 0.032,0.757 ± 0.031,0.792 ± 0.006,0.856 ± 0.019,0.771 ± 0.021,0.509 ± 0.019,0.908 ± 0.006,0.937 ± 0.006,0.932 ± 0.005,0.951 ± 0.002,0.912 ± 0.002
LSST,LSST,0.379 ± 0.013,0.261 ± 0.040,0.287 ± 0.067,0.444 ± 0.000,0.427 ± 0.005,0.401 ± 0.008,0.403 ± 0.009,0.121 ± 0.012,0.415 ± 0.022,0.155 ± 0.007,0.143 ± 0.006,0.382 ± 0.002,0.461 ± 0.009,0.453 ± 0.007,0.407 ± 0.006,0.377 ± 0.013
NATOPS,NA,0.850 ± 0.014,0.947 ± 0.022,0.940 ± 0.014,0.839 ± 0.000,0.908 ± 0.014,0.909 ± 0.024,0.877 ± 0.020,0.940 ± 0.009,0.940 ± 0.013,0.823 ± 0.023,0.697 ± 0.016,0.886 ± 0.005,0.924 ± 0.020,0.923 ± 0.011,0.874 ± 0.011,0.943 ± 0.005
PEMS-SF,PEMS,0.788 ± 0.062,0.759 ± 0.038,0.774 ± 0.031,0.669 ± 0.000,0.873 ± 0.005,0.752 ± 0.033,0.828 ± 0.019,0.691 ± 0.037,0.742 ± 0.023,0.779 ± 0.036,0.664 ± 0.029,0.826 ± 0.018,0.810 ± 0.017,0.807 ± 0.025,0.789 ± 0.014,0.907 ± 0.005
