dataset,abbreviation,seed,MLP,FCN,ResNet,DTW_I,TSF,TapNet,TimesNet,ConvTran,KATN,RPM-CNN,SRPM-CNN,ROCKET,MiniRocket,MultiRocket,Hydra,AIM-TSformer
ArticularyWordRecognition,AWR,46,0.980000,0.986667,0.983333,0.976667,0.966667,0.723333,0.980000,0.966667,0.980000,0.966667,0.643333,0.993333,0.990000,0.993333,0.980000,0.993333
BasicMotions,BM,46,0.825000,1.000000,0.975000,1.000000,1.000000,0.950000,1.000000,1.000000,1.000000,1.000000,0.950000,1.000000,1.000000,1.000000,1.000000,1.000000
Epilepsy,EP,46,0.660387,0.964428,0.957671,0.949722,0.934632,0.992647,0.882181,0.971184,0.964428,0.955882,0.809645,0.985294,1.000000,1.000000,1.000000,1.000000
ERing,ER,46,0.903704,0.855556,0.862963,0.877778,0.922222,0.655556,0.900000,0.785185,0.948148,0.944444,0.662963,0.988889,0.981481,0.992593,0.981481,0.948148
FaceDetection,FD,46,0.633939,0.545970,0.550795,N/A,0.560726,0.555619,0.673383,0.634222,0.663167,0.662316,0.517026,0.614926,0.588820,0.605562,0.551362,0.637344
FingerMovements,FM,46,0.484194,0.588435,0.579032,0.518607,0.540616,0.490796,0.493597,0.605242,0.537815,0.471989,0.511204,0.491997,0.602641,0.602641,0.571629,0.697879
Handwriting,HW,46,0.263611,0.453560,0.505648,0.497232,0.333346,0.339651,0.344175,0.233984,0.426379,0.268920,0.139526,0.577387,0.493838,0.502739,0.458094,0.381802
Libras,LIB,46,0.772222,0.916667,0.855556,0.900000,0.838889,0.694444,0.733333,0.794444,0.861111,0.788889,0.483333,0.900000,0.938889,0.927778,0.950000,0.916667
LSST,LSST,46,0.378836,0.297734,0.188157,0.444472,0.430398,0.390708,0.402374,0.117301,0.389349,0.150018,0.141358,0.382946,0.445842,0.452523,0.403643,0.359117
NATOPS,NA,46,0.872222,0.950000,0.938889,0.838889,0.900000,0.872222,0.888889,0.944444,0.922222,0.811111,0.722222,0.888889,0.905556,0.938889,0.866667,0.944444
PEMS-SF,PEMS,46,0.728843,0.774645,0.768722,0.668911,0.871007,0.795566,0.832835,0.728548,0.758582,0.747514,0.642764,0.826342,0.834399,0.833270,0.778578,0.901665
PenDigits,PD,46,0.961159,0.983239,0.969420,0.939488,0.956625,0.979358,0.983247,0.559438,0.986388,N/A,N/A,0.979219,N/A,N/A,0.964949,0.994227
PhonemeSpectra,PM,46,0.088604,0.251138,0.311944,0.151257,0.152464,0.248522,0.153906,0.073980,0.194191,0.176835,0.136617,0.280992,0.314697,0.329598,0.340920,0.227549
RacketSports,RS,46,0.768553,0.889244,0.914244,0.848547,0.901308,0.820263,0.856977,0.808285,0.895494,N/A,0.651772,0.909302,0.878924,0.873547,0.915988,0.908846
DuckDuckGeese,DDG,46,0.420000,0.540000,0.620000,0.480000,0.600000,0.520000,0.420000,0.640000,0.640000,0.200000,0.260000,0.480000,0.580000,0.540000,0.520000,0.640000
UWaveGestureLibrary,UWG,46,0.843750,0.856250,0.831250,0.856250,0.853125,0.468750,0.875000,0.871875,0.903125,0.875000,0.415625,0.931250,0.943750,0.943750,0.893750,0.912500
AtrialFibrillation,AF,46,0.200000,0.200000,0.133333,0.266667,0.466667,0.266667,0.200000,0.266667,0.333333,0.200000,0.266667,0.066667,0.133333,0.066667,0.066667,0.466667
Cricket,CR,46,0.750000,0.986111,0.944444,0.986111,0.930556,0.666667,0.944444,0.972222,0.958333,0.930556,0.791667,1.000000,0.986111,0.986111,0.986111,1.000000
EthanolConcentration,EC,46,0.284091,0.349650,0.330711,0.307925,0.441317,0.284149,0.251224,0.304079,0.269697,0.268998,0.280828,0.438345,0.464569,0.563753,0.518007,0.578846
HandMovementDirection,HMD,46,0.526190,0.351190,0.314286,0.283333,0.372619,0.305952,0.571429,0.358333,0.670238,0.738095,0.209524,0.505952,0.361905,0.320238,0.263095,0.472619
Heartbeat,HB,46,0.582148,0.637921,0.696716,0.532895,0.615280,0.680002,0.537696,0.659199,0.702999,0.551268,0.633535,0.607219,0.651731,0.628793,0.643670,0.661214
SelfRegulationSCP1,SRS1,46,0.748299,0.755009,0.839996,0.765073,0.846566,0.520641,0.860241,0.891063,0.873987,0.839484,0.561993,0.842885,0.918158,0.952311,0.887685,0.863410
SelfRegulationSCP2,SRS2,46,0.455556,0.477778,0.527778,0.527778,0.483333,0.533333,0.483333,0.466667,0.455556,0.544444,0.494444,0.533333,0.472222,0.566667,0.527778,0.633333
StandWalkJump,SWJ,46,0.533333,0.266667,0.400000,0.400000,0.400000,0.333333,0.200000,0.266667,0.333333,0.333333,0.333333,0.466667,0.466667,0.666667,0.400000,0.666667
