dataset,abbreviation,GASF,GADF,MTF,RP
ArticularyWordRecognition,AWR,0.967±0.010,0.965±0.009,0.947±0.010,0.966±0.006
BasicMotions,BM,0.975±0.018,1.000±0.000,1.000±0.000,0.990±0.014
Epilepsy,EP,0.981±0.012,0.993±0.005,0.984±0.008,0.994±0.006
ERing,ER,0.383±0.058,0.674±0.061,0.534±0.040,0.376±0.047
FaceDetection,FD,0.515±0.008,0.583±0.007,0.520±0.007,0.522±0.011
FingerMovements,FM,0.450±0.034,0.492±0.016,0.550±0.025,0.502±0.041
Handwriting,HW,0.214±0.006,0.369±0.013,0.156±0.013,0.279±0.021
Libras,LIB,0.837±0.023,0.838±0.014,0.760±0.033,0.821±0.037
LSST,LSST,0.590±0.005,0.588±0.001,0.474±0.008,0.571±0.015
NATOPS,NA,0.851±0.017,0.879±0.018,0.824±0.022,0.848±0.016
PEMS-SF,PEMS,0.858±0.020,0.854±0.026,0.849±0.027,0.814±0.021
PenDigits,PD,0.979±0.004,0.979±0.004,0.980±0.004,0.984±0.003
PhonemeSpectra,PM,0.266±0.007,0.282±0.010,0.216±0.006,0.270±0.017
RacketSports,RS,0.800±0.024,0.786±0.023,0.817±0.019,0.793±0.023
DuckDuckGeese,DDG,0.516±0.065,0.472±0.039,0.488±0.036,0.480±0.051
UWaveGestureLibrary,UWG,0.697±0.027,0.831±0.027,0.651±0.021,0.662±0.019
AtrialFibrillation,AF,0.187±0.073,0.080±0.030,0.307±0.076,0.240±0.138
Cricket,CR,0.983±0.012,0.986±0.000,0.978±0.012,0.986±0.010
EthanolConcentration,EC,0.291±0.052,0.298±0.036,0.283±0.015,0.265±0.017
HandMovementDirection,HMD,0.286±0.029,0.327±0.062,0.322±0.050,0.292±0.061
Heartbeat,HB,0.715±0.021,0.722±0.018,0.732±0.008,0.704±0.040
SelfRegulationSCP1,SRS1,0.702±0.023,0.767±0.039,0.719±0.030,0.737±0.047
SelfRegulationSCP2,SRS2,0.506±0.030,0.503±0.042,0.491±0.043,0.511±0.024
StandWalkJump,SWJ,0.560±0.037,0.480±0.145,0.427±0.101,0.440±0.167
