dataset,abbreviation,seed,GASF,GADF,MTF,RP
ArticularyWordRecognition,AWR,45,0.957,0.963,0.947,0.96
BasicMotions,BM,45,0.95,1,1,1
Epilepsy,EP,45,0.978,1,0.986,0.986
ERing,ER,45,0.419,0.696,0.593,0.437
FaceDetection,FD,45,0.524,0.576,0.52,0.523
FingerMovements,FM,45,0.5,0.48,0.57,0.47
Handwriting,HW,45,0.214,0.367,0.155,0.259
Libras,LIB,45,0.856,0.822,0.806,0.844
LSST,LSST,45,0.586,0.588,0.476,0.573
NATOPS,NA,45,0.878,0.856,0.822,0.844
PEMS-SF,PEMS,45,0.844,0.838,0.855,0.838
PenDigits,PD,45,0.981,0.984,0.979,0.982
PhonemeSpectra,PM,45,0.272,0.292,0.222,0.247
RacketSports,RS,45,0.809,0.75,0.822,0.816
DuckDuckGeese,DDG,45,0.44,0.46,0.46,0.42
UWaveGestureLibrary,UWG,45,0.722,0.825,0.644,0.684
AtrialFibrillation,AF,45,0.2,0.067,0.333,0.067
Cricket,CR,45,0.972,0.986,0.972,0.986
EthanolConcentration,EC,45,0.293,0.281,0.304,0.278
HandMovementDirection,HMD,45,0.297,0.257,0.338,0.284
Heartbeat,HB,45,0.732,0.722,0.727,0.727
SelfRegulationSCP1,SRS1,45,0.666,0.751,0.689,0.744
SelfRegulationSCP2,SRS2,45,0.544,0.489,0.45,0.55
StandWalkJump,SWJ,45,0.533,0.6,0.533,0.533
